scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
PeopleWebPart,core,Add people web part with custom heading level,"Add people web part with heading ""Department Contacts"" set to heading level 2 (H2), containing four people: Frank Chen (frank.chen@contoso.com), Grace Lee (grace.lee@contoso.com), Henry Park (henry.park@contoso.com), and Isabella Torres (isabella.torres@contoso.com) in small layout.",Page should contain exactly 1 People web part,Page should contain exactly 4 People web part(s),People web part should have small layout,Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,,,,,SharePointPage webpart PeopleWebPart,webparts/People/people-core-tests.json
PeopleWebPart,core,Add people web part without headline,Add people web part without a headline containing two people: Jack Miller (jack.miller@contoso.com) and Karen White (karen.white@contoso.com) in small layout.,Page should contain exactly 1 People web part,Page should contain exactly 2 People web part(s),People web part should have small layout,Page should not contain any People web part,,,,,,SharePointPage webpart PeopleWebPart,webparts/People/people-core-tests.json
PeopleWebPart,core,Add people web part,Add people web part to the page,Page should contain exactly 1 People web part,,,,,,,,,SharePointPage pr webpart PeopleWebPart,webparts/People/people-pr-tests.json
PeopleWebPart,core,Add people with person details,"Add people web part with a single person: John Smith, email john.smith@contoso.com, in small layout with title ""Team Lead""",Page should contain exactly 1 People web part,People web part should have small layout,,,,,,,,SharePointPage pr webpart PeopleWebPart,webparts/People/people-pr-tests.json
QuickLinksWebPart,core,Add quick links web part,Add Quick Links web part to the page,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,,,,,SharePointPage webpart QuickLinksWebPart,webparts/QuickLinks/quicklinks-core-tests.json
QuickLinksWebPart,core,Add quick link using entity reference,Add Quick Links web part with a link named 'Project Plan' pointing to the page reference '<File>Project Plan</File>',Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,,,,,SharePointPage webpart QuickLinksWebPart,webparts/QuickLinks/quicklinks-core-tests.json
QuickLinksWebPart,core,Add quick links with URLs,Add Quick Links web part with links 'Documentation' -> https://contoso.foo.com/docs and 'Team Site' -> https://contoso.foo.com/team,Page should contain exactly 1 Quick Links web part,,,,,,,,,SharePointPage pr webpart QuickLinksWebPart,webparts/QuickLinks/quicklinks-pr-tests.json
QuickLinksWebPart,core,Add quick links with layout,Add Quick Links web part titled 'Important Links' using 'Button' layout and add link 'Policies' for https://contoso.foo.com/policies,Quick Links web part should have Buttons layout,,,,,,,,,SharePointPage pr webpart QuickLinksWebPart,webparts/QuickLinks/quicklinks-pr-tests.json
QuickLinksWebPart,type1,Add a link to the quicklinks webpart ,Add a link to target.com ,Page must contain exactly 1 Quick Links web part,"The Quick Links web part must include a link to ""https://target.com""
",The total number of links in the Quick Links web part must increase by 1,,,,,,,SharePointPage webpart QuickLinksWebPart,webparts/QuickLinks/quicklinks-type-1-tests.json
QuickLinksWebPart,type1,Add many links to the quicklinks webpart ,Add 10 wikipedia links about different types of rocks,Page must contain exactly 1 Quick Links web part,The Quick Links web part must contain exactly 10 links.,Each link must point to a valid Wikipedia page (URL must resolve to a Wikipedia domain).,Each link must reference a different Wikipedia page (no duplicate URLs).,Each referenced Wikipedia page must describe a distinct type of rock (no repeated rock types).,"Each link must have a non-empty, descriptive label that contains text from the link.",,,,SharePointPage webpart QuickLinksWebPart,webparts/QuickLinks/quicklinks-type-1-tests.json
RTE Comprehensive Multi-Feature Page Authoring,type3,Product Launch Announcement Page with Complete Structure,"Create a comprehensive product launch announcement page for 'Contoso Cloud Platform 2026'. Start with a Heading 2 titled 'Introducing Contoso Cloud Platform 2026' followed by an introductory paragraph explaining this is the next-generation cloud solution. Add a pull quote in the intense style saying 'Redefining cloud computing for the modern enterprise.' Then add a Heading 3 titled 'Key Features' with a bulleted list of 5 features: 'AI-powered automation', 'Enterprise-grade security', 'Seamless integration with Microsoft 365', 'Real-time analytics dashboard', and 'Global scalability'. Next, add a Heading 3 titled 'Pricing Tiers' with a table showing 4 columns (Tier, Monthly Cost, Storage, Support) and 4 rows for tiers: Basic ($99, 100GB, Email), Professional ($299, 500GB, Priority), Enterprise ($599, 2TB, 24/7 Phone), and Unlimited ($999, Unlimited, Dedicated Account Manager). Make the table headers bold with a header style. Add a Heading 3 titled 'Implementation Timeline' with a numbered list containing: '1. Sign up and account provisioning (Day 1)', '2. Data migration and setup (Week 1-2)', '3. Team training and onboarding (Week 3)', '4. Go-live and support (Week 4)'. Include a Heading 3 titled 'Customer Testimonial' with a blockquote: 'Contoso Cloud has transformed how we operate. The seamless integration and powerful analytics have given us insights we never had before.' Finally, end with a Heading 3 titled 'Get Started Today' and a paragraph with a link to https://contoso.com/cloud-signup with the text 'Sign up for your free trial' and mention that the offer is bold text 'limited time only'.",Page should contain at least 1 Text web part,Page should contain H2 with Contoso Cloud Platform 2026,Page should contain Key Features section with AI-powered automation,Page should contain Pricing table with tiers,Page should contain Implementation Timeline with ordered list,Page should contain Customer Testimonial with blockquote,Page should contain Get Started section with trial link,,,SharePointPage webpart RichTextEditor MultiFeature ComprehensivePage,webparts/RTE/rte-comprehensive-multi-feature-tests.json
RTE Comprehensive Multi-Feature Page Authoring,type3,Employee Onboarding Guide with Multi-Section Layout,"Create a detailed employee onboarding guide page. Begin with Heading 2 'Welcome to Contoso - Your Onboarding Journey'. Add a warm welcome paragraph mentioning this guide will help new team members get started. Include a centered pull quote with quote icon style: 'Every great journey begins with a single step. Welcome aboard!' Add Heading 3 'Your First Week Checklist' with a numbered list: '1. Complete HR paperwork and benefits enrollment', '2. Set up your Microsoft 365 account and Teams', '3. Attend new hire orientation session', '4. Meet your team and manager', '5. Review company policies and code of conduct', '6. Complete mandatory security training'. Add Heading 3 'Key Contacts' with a table containing 3 columns (Department, Contact Name, Email) and 5 rows: HR Department - Sarah Johnson - hr@contoso.com, IT Support - Mike Chen - itsupport@contoso.com, Facilities - Lisa Park - facilities@contoso.com, Training - David Kim - training@contoso.com, and Benefits - Amy Wilson - benefits@contoso.com. Make all email addresses clickable mailto links. Add Heading 3 'Important Resources' with a bulleted list containing hyperlinks: 'Employee Handbook' linking to https://intranet.contoso.com/handbook, 'Benefits Portal' linking to https://benefits.contoso.com, 'IT Self-Service' linking to https://itsupport.contoso.com, 'Learning Center' linking to https://learn.contoso.com. Add Heading 3 'Company Values' and include three Heading 4 subheadings for 'Innovation', 'Integrity', and 'Collaboration' each with a short italicized paragraph underneath explaining the value. End with Heading 3 'Questions?' and a paragraph stating 'Reach out to your manager or HR team. We are here to help!' with the word 'here' underlined.",Page should contain exactly 1 Text web part,"Text web part content should contain blockquote, ordered list, ordered list, table, links, links",,,,,,,,SharePointPage webpart RichTextEditor MultiFeature ComprehensivePage,webparts/RTE/rte-comprehensive-multi-feature-tests.json
RTE Comprehensive Multi-Feature Page Authoring,type3,Quarterly Business Review Report Page,"Create a comprehensive Quarterly Business Review page for Q4 2025. Start with Heading 2 'Q4 2025 Business Review' followed by Heading 3 'Executive Summary'. Add a paragraph that explains this report covers Q4 performance highlights, with the words 'exceeded expectations' in bold and 'record-breaking revenue' in bold italic. Include a centered pull quote with boxed style: 'Q4 2025 marks our strongest quarter in company history.' Add Heading 3 'Financial Highlights' with a table containing 5 columns (Metric, Q3 2025, Q4 2025, Change, Status) and 4 data rows: Revenue ($45M, $52M, +15.5%, Exceeded), Profit Margin (22%, 28%, +6pts, Exceeded), Customer Acquisition (1,200, 1,850, +54%, Exceeded), and Retention Rate (92%, 96%, +4pts, On Track). Use alternating row style for readability. Add Heading 3 'Key Achievements' with a bulleted list: 'Launched 3 new product lines successfully', 'Expanded into 5 new international markets', 'Reduced operational costs by 12%', 'Achieved highest customer satisfaction score (4.8/5)', 'Completed strategic acquisition of TechStart Inc.'. Add Heading 3 'Departmental Performance' followed by three Heading 4 sections: 'Sales Team' with text about exceeding quota by 125%, 'Engineering' with text about shipping 15 major features with zero critical bugs, and 'Customer Success' with text about reducing churn by 35%. Add Heading 3 'Looking Ahead to Q1 2026' with a numbered list of priorities: '1. Launch AI-powered analytics module', '2. Expand enterprise sales team by 40%', '3. Open new data center in Singapore', '4. Achieve SOC 2 Type II certification'. End with Heading 3 'Call to Action' containing a paragraph that states 'Review the full detailed report' with a link to https://reports.contoso.com/q4-2025 on the text 'detailed report', followed by 'or contact the leadership team for questions.'",Page should contain exactly 1 Text web part,"Text web part content should contain blockquote, table, table, unordered list, unordered list, ordered list, links",,,,,,,,SharePointPage webpart RichTextEditor MultiFeature ComprehensivePage,webparts/RTE/rte-comprehensive-multi-feature-tests.json
RTE Comprehensive Multi-Feature Page Authoring,type3,Technical Documentation Page with Code Examples and Procedures,"Create a technical documentation page for the Contoso API. Start with Heading 2 'Contoso API Developer Guide'. Add an introductory paragraph explaining this guide covers authentication, endpoints, and best practices. Include a side-border pull quote: 'Build powerful integrations with just a few lines of code.' Add Heading 3 'Authentication' with a paragraph explaining API key authentication, with 'API key' in bold. Add a Heading 4 'Getting Your API Key' with a numbered list: '1. Log in to the Contoso Developer Portal at https://developer.contoso.com', '2. Navigate to API Keys in your account settings', '3. Click Generate New Key and copy the key securely', '4. Store the key in a secure environment variable'. Add Heading 3 'Available Endpoints' with a table containing 4 columns (Endpoint, Method, Description, Auth Required) and 5 rows: /api/v1/users - GET - List all users - Yes, /api/v1/users/{id} - GET - Get user by ID - Yes, /api/v1/products - GET - List products - No, /api/v1/orders - POST - Create order - Yes, /api/v1/health - GET - Health check - No. Use header row styling. Add Heading 3 'Rate Limits' with a bulleted list explaining limits: 'Free tier: 1,000 requests per day', 'Pro tier: 10,000 requests per day', 'Enterprise tier: Unlimited requests', 'Rate limit headers are included in all responses'. Add Heading 3 'Error Handling' with Heading 4 'Common Error Codes' and a table with 3 columns (Code, Name, Description) and 4 rows: 400 - Bad Request - Invalid parameters provided, 401 - Unauthorized - Missing or invalid API key, 404 - Not Found - Resource does not exist, 429 - Too Many Requests - Rate limit exceeded. Add Heading 3 'Best Practices' with a numbered list: '1. Always use HTTPS for API calls', '2. Cache responses when possible to reduce API calls', '3. Implement exponential backoff for retries', '4. Monitor your usage through the developer dashboard', '5. Subscribe to our status page for maintenance updates'. End with Heading 3 'Support' and a paragraph with text 'For technical support, email' with a mailto link to api-support@contoso.com, 'or visit our' with a link to https://community.contoso.com on text 'community forum'.",Page should contain exactly 1 Text web part,"Text web part content should contain blockquote, ordered list, table, unordered list, table, ordered list, links, links",,,,,,,,SharePointPage webpart RichTextEditor MultiFeature ComprehensivePage,webparts/RTE/rte-comprehensive-multi-feature-tests.json
RTE Comprehensive Multi-Feature Page Authoring,type3,Event Planning and Conference Page,"Create a comprehensive event page for 'Contoso Innovation Summit 2026'. Begin with Heading 2 'Contoso Innovation Summit 2026' followed by a paragraph stating 'Join us for our annual innovation conference' with the dates 'March 15-17, 2026' in bold and location 'Seattle Convention Center' in italic. Add a centered intense pull quote: 'Where Ideas Meet Action - Three Days That Will Transform Your Business'. Add Heading 3 'Event Schedule' followed by Heading 4 'Day 1 - Opening & Keynotes' with a table: 4 columns (Time, Session, Speaker, Room), 4 rows: 9:00 AM - Registration & Breakfast - - Lobby, 10:00 AM - Opening Keynote: Future of Innovation - CEO Jane Smith - Main Hall, 12:00 PM - Networking Lunch - - Grand Ballroom, 2:00 PM - AI in Enterprise Panel - Industry Leaders - Conference Room A. Add Heading 4 'Day 2 - Workshops' with a bulleted list of workshops: 'Cloud Architecture Best Practices (Beginner)', 'Advanced Machine Learning Techniques (Intermediate)', 'DevOps Transformation Journey (All Levels)', 'Security in the Age of AI (Advanced)'. Add Heading 4 'Day 3 - Closing & Networking' with text about final sessions and the closing ceremony. Add Heading 3 'Registration Packages' with a table: 4 columns (Package, Price, Includes, Availability), 3 rows: Early Bird - $499 - All sessions, meals, materials - Until Feb 1, Standard - $699 - All sessions, meals, materials - Until Mar 1, VIP - $1,299 - All access plus exclusive dinner with speakers - Limited to 50. Add Heading 3 'Venue Information' with a paragraph including the address '705 Pike Street, Seattle, WA 98101' and links to https://maps.contoso.com/venue for directions. Add a bulleted list for amenities: 'Free WiFi throughout venue', 'On-site parking available ($25/day)', 'Accessible facilities', 'Multiple dining options'. Add Heading 3 'Sponsors' with text thanking sponsors and a link to https://summit.contoso.com/sponsors to 'view all sponsors'. End with Heading 3 'Register Now' and text 'Secure your spot today! Visit' with a link on 'registration portal' to https://summit.contoso.com/register, ending with 'Early bird pricing ends soon!' with 'Early bird' in bold red color if possible, otherwise just bold.",Page should contain exactly 1 Text web part,"Text web part content should contain blockquote, table, unordered list, unordered list, table, unordered list, links",,,,,,,,SharePointPage webpart RichTextEditor MultiFeature ComprehensivePage,webparts/RTE/rte-comprehensive-multi-feature-tests.json
RTE Comprehensive Multi-Feature Page Authoring,type3,Project Status Dashboard Page with Multiple Data Sections,"Create a project status dashboard page for 'Project Phoenix - Digital Transformation Initiative'. Start with Heading 2 'Project Phoenix - Status Dashboard' and immediately add a paragraph with 'Last Updated:' followed by 'January 15, 2026' in italic, and 'Overall Status:' followed by 'On Track' in bold green text or just bold if color not available. Add a right-aligned pull quote in boxed style: 'Transforming our operations one milestone at a time.' Add Heading 3 'Project Overview' with a summary paragraph including the project start date 'Q1 2025', target completion 'Q4 2026', and budget '$2.5M'. Add Heading 3 'Milestone Tracker' with a detailed table: 5 columns (Milestone, Target Date, Status, Owner, Notes), 6 rows: M1: Requirements - Q1 2025 - Complete - Sarah Lee - Approved by steering committee, M2: Design - Q2 2025 - Complete - Mike Johnson - Finalized architecture, M3: Development Phase 1 - Q3 2025 - Complete - Dev Team - Core modules done, M4: Development Phase 2 - Q4 2025 - In Progress - Dev Team - 75% complete, M5: Testing - Q1 2026 - Not Started - QA Team - Planned, M6: Deployment - Q2 2026 - Not Started - Ops Team - Pending. Use header row styling and alternating rows if possible. Add Heading 3 'Key Metrics' followed by Heading 4 'Budget Status' with a table: 3 columns (Category, Allocated, Spent), 4 rows: Personnel - $1,200,000 - $950,000, Infrastructure - $600,000 - $425,000, Software Licenses - $400,000 - $380,000, Contingency - $300,000 - $45,000. Add Heading 4 'Resource Allocation' with a bulleted list: 'Development Team: 12 FTEs (Full capacity)', 'QA Team: 4 FTEs (Ramping up Q1)', 'Project Management: 2 FTEs', 'External Consultants: 3 contractors'. Add Heading 3 'Risks and Issues' with a numbered list: '1. Vendor delivery delay for cloud infrastructure - Mitigation: Parallel procurement initiated', '2. Key developer on medical leave - Mitigation: Knowledge transfer completed, temp resource hired', '3. Scope creep from stakeholder requests - Mitigation: Change control board activated'. Add Heading 3 'Next Steps' with a numbered list for the upcoming sprint: '1. Complete API integration testing by Jan 31', '2. Begin user acceptance testing planning', '3. Finalize training materials', '4. Schedule steering committee review for Feb 15'. End with Heading 3 'Contact Information' and a paragraph with 'Project Manager:' bold followed by 'Sarah Lee' with a mailto link to sarah.lee@contoso.com, and 'Executive Sponsor:' bold followed by 'David Chen' with link to david.chen@contoso.com.",Page should contain exactly 1 Text web part,"Text web part content should contain blockquote, table, table, table, unordered list, ordered list, ordered list, links",,,,,,,,SharePointPage webpart RichTextEditor MultiFeature ComprehensivePage,webparts/RTE/rte-comprehensive-multi-feature-tests.json
RichTextEditor,core,Add Blockquote with formatted text,"Add a blockquote with the text ""Success is not final, failure is not fatal: it is the courage to continue that counts.""",Page should contain exactly 1 Text web part,Text web part content should contain blockquote,,,,,,,,SharePointPage webpart RichTextEditor,webparts/RTE/rte-core-tests.json
RichTextEditor,core,Add ordered list with multiple items,"Add an ordered list with items: ""Read the documentation"", ""Install dependencies"", ""Run tests"", ""Deploy to production""",Page should contain exactly 1 Text web part,"Text web part content should contain ordered list, ordered list, ordered list, ordered list",,,,,,,,SharePointPage webpart RichTextEditor,webparts/RTE/rte-core-tests.json
RichTextEditor,core,Add text with custom font color and size,"Add a heading with blue color and large font size, then add a red colored subheading with medium font size",Page should contain exactly 1 Text web part,Text web part content should match expected pattern,,,,,,,,SharePointPage webpart RichTextEditor,webparts/RTE/rte-core-tests.json
RichTextEditor,core,Add link within text content,"Add a paragraph with text ""Visit our documentation site"" and create a hyperlink  https://contoso.foo.com/resources on the word ""documentation""",Page should contain exactly 1 Text web part,Text web part content should contain links,,,,,,,,SharePointPage webpart RichTextEditor,webparts/RTE/rte-core-tests.json
RTE Headings - Modify Existing Content,type1,Convert paragraph to Heading 1,Make 'Introduction to Our Company' a Heading 1,"The text ""Introduction to Our Company"" must be formatted as a Heading 2",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Convert paragraph to Heading 2,Convert 'Our Mission' text to a Heading 2,"The text ""Our Mission"" must be formatted as a Heading 2",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Convert paragraph to Heading 3,Change 'Our Values' to be a Heading 3,"The text ""Our Values"" must be formatted as a Heading 3",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Change Heading 2 to Heading 3,Demote the 'Project Overview' heading from H2 to H3,"The text ""Project Overview"" must be formatted as a Heading 3",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Change Heading 3 to Heading 2,Promote the 'Background' heading to be a main heading (H2),"The text ""Background"" must be formatted as a Heading 2",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Change Heading 3 to Heading 2,Make 'Key Milestones' a Heading 2 instead of Heading 3,"The text ""Key Milestones"" must be formatted as a Heading 2",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Convert heading to normal paragraph,Change the 'Objectives' heading back to normal paragraph text,"The text ""Objectives"" must be formatted as a paragraph","The text ""Objectives"" must no longer be formatted as a heading",,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Update heading text content,Change the 'Project Overview' heading text to say 'Project Summary and Goals',"The text ""Project Overview"" must be updated to ""Project Summary and Goals""",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Convert multiple paragraphs to headings,Format 'Our Mission' as Heading 2 and 'Our Values' as Heading 2,"The text ""Our Mission"" must be formatted as a Heading 2","The text ""Our Values"" must be formatted as a Heading 2",,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Update heading in two-column layout,Rename the 'Department Overview' heading to 'Marketing Team',"The text ""Department Overview"" must be updated to ""Marketing Team""",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Change heading level in second section,Convert 'Chapter 1: Getting Started' to a Heading 2,"The text ""Chapter 1: Getting Started"" must be formatted as a Heading 2",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Modify Existing Content,type1,Promote subheading to match sibling level,Change 'Revenue Growth' from H3 to H2 to match the other main sections,"The text ""Revenue Growth"" must be formatted as a Heading 2",The text must no longer be formatted as a Heading 3,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-1-tests.json
RTE Headings - Add New Content,type2,Add new Heading 1 to empty page,Add a main heading that says 'Welcome to Our Team Portal',Page should contain exactly 1 Text web part,Content should contain H1 heading with text 'Welcome to Our Team Portal',,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add new Heading 2 to existing content,Add a new section heading 'Contact Information' at the end of the page,Content should contain H2 heading 'Contact Information' at end of page,,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add Heading 3 subsection,Add a subsection heading 'Implementation Details' as a Heading 3 after the Objectives section,Content should contain H3 subsection 'Implementation Details' after Objectives,,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add heading with following paragraph,Add a new H2 heading 'Next Steps' followed by a paragraph explaining that the team will meet next Monday to discuss progress,Content should contain H2 'Next Steps' heading followed by paragraph about Monday meeting,,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add multiple headings at once,"Add three new section headings: 'Requirements' as H2, 'Technical Specs' as H3, and 'Timeline' as H2","Content should contain 3 headings: H2 'Requirements', H3 'Technical Specs', H2 'Timeline'",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add heading to second column,Add a Heading 2 'Team Members' in the right column,Right column should contain H2 heading 'Team Members',,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add heading hierarchy for new document,"Create a document structure with H2 'Project Charter', H3 'Scope', and H3 'Deliverables'","Document should have heading hierarchy: H2 'Project Charter', H3 'Scope', H3 'Deliverables'",,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Insert heading between existing sections,Insert a new Heading 2 called 'Analysis' between 'Background' and 'Objectives' sections,Content should contain H2 'Analysis' inserted between 'Background' and 'Objectives',,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add page title heading,Add a page title 'Q4 2025 Business Review' as a Heading 2 at the top,Page should have H2 title 'Q4 2025 Business Review' at the top,,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Headings - Add New Content,type2,Add heading to multi-section page,Add a Heading 2 'Appendix' to the second section of the page,Second section should contain H2 heading 'Appendix',,,,,,,,,SharePointPage webpart RichTextEditor Headings,webparts/RTE/rte-headings-type-2-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Add external link to existing text,Make the text 'Product Documentation' a clickable link that goes to https://docs.contoso.com/products,Page must contain exactly 1 Text web part,"The text ""Product Documentation"" must be converted to a hyperlink
","The hyperlink URL must be ""https://docs.contoso.com/products""","The hyperlink must open in a new browser tab (target=""_blank"")",,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Add email link to email address text,Convert the email address support@contoso.com into a clickable mailto link,"The text ""support@contoso.com"" must be converted to a mailto hyperlink","The hyperlink must use the ""mailto:support@contoso.com"" format",,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Update existing link URL,Change the documentation portal link to point to https://docs.contoso.com/new-portal instead of the old URL,The text representing the documentation portal must remain unchanged,"The hyperlink URL must be updated to ""https://docs.contoso.com/new-portal""",The hyperlink must no longer reference the previous URL,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Change link display text,"Update the 'help center' link text to say 'Customer Support Portal' instead, keeping the same URL","The link display text ""help center"" must be updated to ""Customer Support Portal""",The hyperlink URL must remain unchanged,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Add links to list items,"Add links to each item in the list: Microsoft 365 Admin Center should link to https://admin.microsoft.com, SharePoint Documentation to https://docs.microsoft.com/sharepoint, Power Platform Learning to https://learn.microsoft.com/power-platform, and Azure Portal to https://portal.azure.com","The list item ""Microsoft 365 Admin Center"" must be linked to ""https://admin.microsoft.com""","The list item ""SharePoint Documentation"" must be linked to ""https://docs.microsoft.com/sharepoint""","The list item ""Power Platform Learning"" must be linked to ""https://learn.microsoft.com/power-platform""","The list item ""Azure Portal"" must be linked to ""https://portal.azure.com""",All specified list items must be converted to hyperlinks,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Add mailto links to table email cells,Convert the email addresses in the Contact column of the team contacts table into clickable mailto links,All email addresses in the Contact column must be converted to mailto hyperlinks,"Each hyperlink must use the ""mailto:"" format with the correct email address",,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Remove link but keep text,Remove the link from 'company blog' text but keep the text visible as plain text,"The text ""company blog"" must no longer be a hyperlink","The text ""company blog"" must remain visible as plain text",,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Add multiple links in same paragraph,"In the Internal Resources section, make 'HR Portal' link to https://hr.contoso.com, 'IT Help Desk' link to https://it.contoso.com/helpdesk, and 'Employee Directory' link to https://directory.contoso.com","The text ""HR Portal"" must be linked to ""https://hr.contoso.com""","The text ""IT Help Desk"" must be linked to ""https://it.contoso.com/helpdesk""","The text ""Employee Directory"" must be linked to ""https://directory.contoso.com""",All links must be applied within the same section,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Modify Existing Content,type1,Add links with new tab target to external resources,"In the External Links section, add links that open in new tabs: 'Microsoft Learn' to https://learn.microsoft.com, 'Stack Overflow' to https://stackoverflow.com, and 'GitHub' to https://github.com","The text ""Microsoft Learn"" must be linked to ""https://learn.microsoft.com""","The link for ""Microsoft Learn"" must open in a new tab (target=""_blank"")","The text ""Stack Overflow"" must be linked to ""https://stackoverflow.com""","The link for ""Stack Overflow"" must open in a new tab (target=""_blank"")","The text ""GitHub"" must be linked to ""https://github.com""","The link for ""GitHub"" must open in a new tab (target=""_blank"")",All links must be added within the External Links section,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-1-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Add new paragraph with link,"Add a new paragraph at the end that says 'For additional help, visit our FAQ page' where 'FAQ page' links to https://help.contoso.com/faq",Text web part content should contain links,,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Add link that opens in new tab,Add a link to Microsoft Learn at https://learn.microsoft.com that opens in a new tab. Use the text 'Explore Microsoft Learn',Page should contain exactly 1 Text web part,Text web part content should contain links,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Add internal SharePoint page link,Add a link with text 'Go to Home Page' that links to the internal page reference '<Page>Home</Page>',Text web part content should contain links,,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Add page anchor link,Add text that says 'Jump to the Timeline section' where 'Timeline section' is a link to the heading anchor #timeline on the same page,Text web part content should contain links,,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
